% ID         RA         Dec       Ebv      Gal Long  Gal Lat    Ecl Long  Ecl Lat
000119    279.58824  -51.32308    0.08     344.1969  -18.9196   276.7773  -28.1091
000120    290.17647  -51.32308    0.08     346.1994  -25.2655   284.2500  -28.8772
000121    300.76471  -51.32308    0.06     347.3347  -31.8011   291.7014  -30.1762
000122    311.35294  -51.32308    0.03     347.4343  -38.4117   299.1289  -31.9827
000123    321.94118  -51.32308    0.02     346.2109  -44.9597   306.5403  -34.2648
000124    332.52941  -51.32308    0.02     343.1929  -51.2578   313.9572  -36.9840
000125    343.11765  -51.32308    0.01     337.6530  -57.0232   321.4192  -40.0961
000126    353.70588  -51.32308    0.01     328.6544  -61.8079   328.9888  -43.5517
000127      3.61538  -44.40000    0.01     323.7956  -71.2000   341.6164  -41.2884
000128     12.84615  -44.40000    0.01     302.9640  -72.7282   349.2250  -44.8389
000129     22.07692  -44.40000    0.01     282.1212  -71.2084   357.2387  -48.4818
000130     31.30769  -44.40000    0.02     267.1458  -67.2543     5.8290  -52.1490
000131     40.53846  -44.40000    0.02     258.1299  -61.9017    15.2220  -55.7559
000132     49.76923  -44.40000    0.01     253.1004  -55.8394    25.7060  -59.1935
000133     59.00000  -44.40000    0.01     250.5477  -49.4312    37.6189  -62.3176
000134     68.23077  -44.40000    0.01     249.5912  -42.8728    51.2758  -64.9396
000135     77.46154  -44.40000    0.02     249.7391  -36.2822    66.7815  -66.8314
000136     86.69231  -44.40000    0.05     250.7160  -29.7415    83.7451  -67.7675
000137     95.92308  -44.40000    0.06     252.3690  -23.3176   101.1606  -67.6100
000138    105.15385  -44.40000    0.12     254.6173  -17.0723   117.7888  -66.3835
000139    114.38462  -44.40000    0.18     257.4248  -11.0689   132.7835  -64.2604
000140    123.61538  -44.40000    0.85     260.7834   -5.3759   145.9216  -61.4743
000141    132.84615  -44.40000    2.05     264.7008   -0.0703   157.3943  -58.2443
000142    142.07692  -44.40000    0.80     269.1898    4.7613   167.5364  -54.7458
000143    151.30769  -44.40000    0.13     274.2567    9.0226   176.6755  -51.1120
000144    160.53846  -44.40000    0.17     279.8875   12.6103   185.0821  -47.4440
000145    169.76923  -44.40000    0.10     286.0341   15.4202   192.9656  -43.8209
000146    179.00000  -44.40000    0.14     292.6023   17.3570   200.4845  -40.3074
000147    188.23077  -44.40000    0.08     299.4494   18.3465   207.7579  -36.9589
000148    197.46154  -44.40000    0.14     306.3945   18.3480   214.8747  -33.8244
000149    206.69231  -44.40000    0.10     313.2421   17.3612   221.9012  -30.9484
000150    215.92308  -44.40000    0.10     319.8113   15.4271   228.8853  -28.3716
000151    225.15385  -44.40000    0.12     325.9593   12.6196   235.8603  -26.1313
000152    234.38462  -44.40000    0.26     331.5917    9.0340   242.8468  -24.2607
000153    243.61538  -44.40000    0.89     336.6602    4.7745   249.8554  -22.7886
000154    252.84615  -44.40000   17.95     341.1509   -0.0556   256.8878  -21.7384
000155    262.07692  -44.40000    0.41     345.0699   -5.3600   263.9393  -21.1273
000156    271.30769  -44.40000    0.12     348.4301  -11.0520   271.0005  -20.9653
000157    280.53846  -44.40000    0.08     351.2392  -17.0546   278.0601  -21.2551
000158    289.76923  -44.40000    0.08     353.4892  -23.2993   285.1070  -21.9920
000159    299.00000  -44.40000    0.06     355.1440  -29.7228   292.1329  -23.1638
000160    308.23077  -44.40000    0.04     356.1231  -36.2632   299.1347  -24.7514
000161    317.46154  -44.40000    0.04     356.2736  -42.8538   306.1165  -26.7299
000162    326.69231  -44.40000    0.02     355.3209  -49.4124   313.0914  -29.0691
000163    335.92308  -44.40000    0.02     352.7738  -55.8213   320.0836  -31.7346
000164    345.15385  -44.40000    0.01     347.7533  -61.8850   327.1301  -34.6881
000165    354.38462  -44.40000    0.01     338.7517  -67.2404   334.2836  -37.8880
000166      3.28571  -37.47692    0.02     338.4853  -76.8797   345.8128  -35.1926
000167     11.85714  -37.47692    0.01     307.3496  -79.6169   353.2141  -38.5426
000168     20.42857  -37.47692    0.02     273.1676  -77.8442     0.9333  -41.9451
000169     29.00000  -37.47692    0.02     254.2446  -72.9194     9.0835  -45.3389
000170     37.57143  -37.47692    0.02     245.6057  -66.7878    17.7993  -48.6526
000171     46.14286  -37.47692    0.02     241.6887  -60.2129    27.2337  -51.8001
000172     54.71429  -37.47692    0.02     240.1177  -53.4670    37.5439  -54.6779
000173     63.28571  -37.47692    0.01     239.8790  -46.6688    48.8592  -57.1628
000174     71.85714  -37.47692    0.01     240.4990  -39.8838    61.2207  -59.1168
000175     80.42857  -37.47692    0.04     241.7411  -33.1573    74.5040  -60.4024
000176     89.00000  -37.47692    0.05     243.4853  -26.5274    88.3675  -60.9105
000177     97.57143  -37.47692    0.09     245.6752  -20.0313   102.2961  -60.5934
000178    106.14286  -37.47692    0.19     248.2923  -13.7088   115.7534  -59.4813
000179    114.71429  -37.47692    0.36     251.3438   -7.6051   128.3487  -57.6714
000180    123.28571  -37.47692    0.87     254.8539   -1.7732   139.9093  -55.2977
000181    131.85714  -37.47692    0.53     258.8584    3.7242   150.4445  -52.5000
